,,,
Botanical Name,Family,Common Name,Properties / Uses
Abelmoschus moschatus,MALVACEAE,ambrette,"breath freshener, digestive problems, cramps, poor circulation;
treats aching joints, anxiety, depression"
Abies alba,PINACEAE,European silver fir,"aromatic, antiseptic, diuretic, expectorant, irritates tissues to improve blood flow; treats colds, coughs, rheumatism, neuralgia"
Acacia farnesiana,MIMOSACEAE,prickly Moses,"aromatic, stimulant, relieves tension, insecticidal; treats diarrhea, skin complaints,"
Acalypha hispida,EUPHORBIACEAE,chenille plant,"treats stomach aches, arthritis, also used as laxative"
Acanthus mollis,ACANTHACEAE,Bear's breeches,"mucilage and tannin used for dislocated joints, burns and scalds;
treat mucous membranes within the digestive and urinary tracts"
Acanthus spinosus,ACANTHACEAE,Bear's breeches,treats digestive and urinary tract conditions
Achillea millefolium,ASTERACEAE,yarrow,"aromatic, bitter, astringent, anti-inflammatory,  diuretic, relieves indigestion, increases perspiration; for feverish illnesses like colds, measles and influenza; also for cuts, bruises, hemorrhages, ulcers,  varicose veins, headaches, hypertension"
Acmella oleracea,ASTERACEAE,"toothache plant, jambu","numbs toothache, treat canker sores, antiparasitic esp. malaria"
Acorus calamus,ARACEAE,sweet flag,"aromatic, bitter, stimulant, relaxes spasms, relieves indigestion; treats digestive complaints, bronchitis, sinusitis, skin problems, rheumatic pains, neuralgia; also as a restorative for brain and nervous system"
Adiantum capillus-veneris,ADIANTACEAE,common maidenhair,treats colds and coughs
Adiantum tenerum,ADIANTACEAE,maidenhair fern,"stimulates kidneys, antiparasitic, for dandruff control, aids in detoxification of alcoholics; also treats coughs"
Agastache foeniculum,LAMIACEAE,blue giant hyssop,"aromatic, pleasant-tasting,  relieves bronchial congestion, increases perspiration; treats coughs, colds"
Agastache rugosa,LAMIACEAE,giant hyssop,"aromatic, pleasant-tasting;  improves appetite; treats colds, chills"
Agave americana,AGAVACEAE,American century plant,"healing, anti-inflammatory,  diuretic, digestive, hormonal, insecticidal; treats digestive disorders, dysentery, jaundice, excess mucus; also for burns, minor injuries"
Agrimonia eupatoria,ROSACEAE,agrimony,"astringent and tonic; strengthens digestive system and liver; treats indigestion, heart burn, diarrhea, food allergies, also for cleansing wounds and as eyewah for sore and inflamed eyes"
Ajuga reptans,LAMIACEAE,bugle,"mild, painkilling, astringent, laxative; treats bruises, wounds, tumors"
